id,titulo,url
1,Iniciasesión,https://ceeielche.emprenemjunts.es/?op=72
2,CEEI ElcheMENÚ,https://ceeielche.emprenemjunts.es/
3,Inicio,https://ceeielche.emprenemjunts.es
4,Actualidad,https://ceeielche.emprenemjunts.es/?op=130&id=148
5,Agenda,https://ceeielche.emprenemjunts.es/?op=130&id=141
6,Convocatorias,https://ceeielche.emprenemjunts.es/?op=130&id=137
7,Recursos,https://ceeielche.emprenemjunts.es/?op=130&id=107
8,Agentes del Ecosistema,https://ceeielche.emprenemjunts.es/?op=130&id=597
9,Empresas,https://ceeielche.emprenemjunts.es/?op=130&id=118
10,BIKCEEI,http://www.bikceei.com
11,Quiénes somos,https://ceeielche.emprenemjunts.es/?op=130&id=256
12,Qué es el CEEI,https://ceeielche.emprenemjunts.es/?op=130&id=249
13,Qué ofrecemos,https://ceeielche.emprenemjunts.es/?op=130&id=250
14,A quién nos dirigimos,https://ceeielche.emprenemjunts.es/?op=130&id=251
15,Ley de Transparencia,https://ceeielche.emprenemjunts.es/?op=130&id=254
16,Contacta con nosotros,https://ceeielche.emprenemjunts.es/?op=130&id=253
17,EmprenemJunts,https://www.emprenemjunts.es
18,Iniciar sesión,https://ceeielche.emprenemjunts.es/
19,Cerrar,https://ceeielche.emprenemjunts.es/
20,Guía práctica para Incorporar los ODS en proyectos Emprendedores y pymes,https://ceeielche.emprenemjunts.es/?op=13&n=18555
"21,""Guía Cómo obtener el Sello PYME InnovadoraQué es, quién lo otorga, cómo acceder y sus ventajas."",https://ceeielche.emprenemjunts.es/?op=13&n=9286"
22,Mejoras en las deducciones fiscales por I+D+iGuía elaborada por Proyecta Innovación,https://ceeielche.emprenemjunts.es/?op=13&n=9278
23,Recursos y Herramientas de Apoyo para la Creación y el Crecimiento de Empresas,https://ceeielche.emprenemjunts.es/?op=13&n=4726
24,Guía Sello JEI y PYME Innovadora,https://ceeielche.emprenemjunts.es/?op=13&n=8830
25,Guía básica para crear una app móvil de éxitoAlgunas cuestiones básicas que cabe afrontar antes de empezar a desarrollar una aplicación móvil,https://ceeielche.emprenemjunts.es/?op=13&n=8821
26,Tarifa Plana de Autónomos 2014,https://ceeielche.emprenemjunts.es/?op=13&n=7710
"27,""Facebook, crea una comunidad, interactúa y vende"",https://ceeielche.emprenemjunts.es/?op=13&n=7477"
28,Patent Box y Deducciones Fiscales,https://ceeielche.emprenemjunts.es/?op=13&n=7230
29,Guía de Apoyo: El miedo a hablar en públicoApuntes de la Jornada realizada en el CEEI Valencia el 30 de Enero de 2014,https://ceeielche.emprenemjunts.es/?op=13&n=6894
30,Servicios Coworking CEEI Valencia,https://ceeielche.emprenemjunts.es/?op=13&n=5955
31,Guía de Apoyo: Premios para Emprendedores y EmpresasInformación de las últimas convocatorias,https://ceeielche.emprenemjunts.es/?op=13&n=5668
32,Guía de Apoyo: Fuentes de Financiación,https://ceeielche.emprenemjunts.es/?op=13&n=5446
33,Guía de Apoyo: Métodos de Cálculo del Tamaño de Mercado,https://ceeielche.emprenemjunts.es/?op=13&n=5445
34,Guía de apoyo: Listado de Guías de Actividades Empresariales98 Guías que te ayudarán a poner en marcha tu empresa,https://ceeielche.emprenemjunts.es/?op=13&n=5442
"35,""Guía de apoyo: Geolocalización y Redes Sociales, dos caras de la misma moneda"",https://ceeielche.emprenemjunts.es/?op=13&n=5026"
36,Guía de Apoyo: Principios básicos de LOPD y LSSI,https://ceeielche.emprenemjunts.es/?op=13&n=3773
