id,seccion_origen,titulo,url,tipo_documento,categoria_estimada,texto_recomendador
1,manuales,Elche impulsa el emprendimiento juvenil con el evento final...,https://ceeielche.emprenemjunts.es/?op=8&n=36227,Manual,Emprendimiento,Elche impulsa el emprendimiento juvenil con el evento final... | manuales | Manual | Emprendimiento
2,manuales,Terciario Avanzado en la jornada dedicada a la Economía...,https://ceeielche.emprenemjunts.es/?op=8&n=36206,Manual,General,Terciario Avanzado en la jornada dedicada a la Economía... | manuales | Manual | General
3,manuales,Jovempa Talks Marina Alta con DASS,https://ceeielche.emprenemjunts.es/?op=8&n=36201,Manual,General,Jovempa Talks Marina Alta con DASS | manuales | Manual | General
4,manuales,"Benidorm culmina el relanzamiento de su Espai Coworking, al...",https://ceeielche.emprenemjunts.es/?op=8&n=36199,Manual,General,"Benidorm culmina el relanzamiento de su Espai Coworking, al... | manuales | Manual | General"
5,manuales,GAL ASIR participa en un nuevo encuentro del proyecto...,https://ceeielche.emprenemjunts.es/?op=8&n=36105,Manual,General,GAL ASIR participa en un nuevo encuentro del proyecto... | manuales | Manual | General
6,manuales,Planes de actuaciones IVACE-CEEI Elche,https://ceeielche.emprenemjunts.es/?op=130&id=567,Manual,Fiscalidad y legal,Planes de actuaciones IVACE-CEEI Elche | manuales | Manual | Fiscalidad y legal
7,manuales,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1214&lang=1,Manual,General,Español | manuales | Manual | General
8,manuales,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1214&lang=2,Manual,General,Valencià | manuales | Manual | General
9,manuales,English,https://ceeielche.emprenemjunts.es/?op=8&n=1214&lang=3,Manual,General,English | manuales | Manual | General
10,guias,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1215&lang=1,Guía,General,Español | guias | Guía | General
11,guias,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1215&lang=2,Guía,General,Valencià | guias | Guía | General
12,guias,English,https://ceeielche.emprenemjunts.es/?op=8&n=1215&lang=3,Guía,General,English | guias | Guía | General
13,fichas,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1216&lang=1,Ficha,General,Español | fichas | Ficha | General
14,fichas,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1216&lang=2,Ficha,General,Valencià | fichas | Ficha | General
15,fichas,English,https://ceeielche.emprenemjunts.es/?op=8&n=1216&lang=3,Ficha,General,English | fichas | Ficha | General
16,infografias,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1217&lang=1,Infografía,General,Español | infografias | Infografía | General
17,infografias,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1217&lang=2,Infografía,General,Valencià | infografias | Infografía | General
18,infografias,English,https://ceeielche.emprenemjunts.es/?op=8&n=1217&lang=3,Infografía,General,English | infografias | Infografía | General
19,informes,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1218&lang=1,Informe,General,Español | informes | Informe | General
20,informes,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1218&lang=2,Informe,General,Valencià | informes | Informe | General
21,informes,English,https://ceeielche.emprenemjunts.es/?op=8&n=1218&lang=3,Informe,General,English | informes | Informe | General
22,videocapsulas,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1219&lang=1,Videocápsula,General,Español | videocapsulas | Videocápsula | General
23,videocapsulas,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1219&lang=2,Videocápsula,General,Valencià | videocapsulas | Videocápsula | General
24,videocapsulas,English,https://ceeielche.emprenemjunts.es/?op=8&n=1219&lang=3,Videocápsula,General,English | videocapsulas | Videocápsula | General
25,modelos_de_negocio,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1220&lang=1,Modelo de negocio,General,Español | modelos_de_negocio | Modelo de negocio | General
26,modelos_de_negocio,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1220&lang=2,Modelo de negocio,General,Valencià | modelos_de_negocio | Modelo de negocio | General
27,modelos_de_negocio,English,https://ceeielche.emprenemjunts.es/?op=8&n=1220&lang=3,Modelo de negocio,General,English | modelos_de_negocio | Modelo de negocio | General
28,cuadernos_de_trabajo,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1221&lang=1,Cuaderno de trabajo,General,Español | cuadernos_de_trabajo | Cuaderno de trabajo | General
29,cuadernos_de_trabajo,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1221&lang=2,Cuaderno de trabajo,General,Valencià | cuadernos_de_trabajo | Cuaderno de trabajo | General
30,cuadernos_de_trabajo,English,https://ceeielche.emprenemjunts.es/?op=8&n=1221&lang=3,Cuaderno de trabajo,General,English | cuadernos_de_trabajo | Cuaderno de trabajo | General
31,webinars,Español,https://ceeielche.emprenemjunts.es/?op=8&n=1222&lang=1,Webinar,General,Español | webinars | Webinar | General
32,webinars,Valencià,https://ceeielche.emprenemjunts.es/?op=8&n=1222&lang=2,Webinar,General,Valencià | webinars | Webinar | General
33,webinars,English,https://ceeielche.emprenemjunts.es/?op=8&n=1222&lang=3,Webinar,General,English | webinars | Webinar | General
