id,seccion_origen,titulo,url,pagina_origen
1,manuales,Recursos,https://ceeielche.emprenemjunts.es/?op=130&id=107,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
2,manuales,Qué es el CEEI,https://ceeielche.emprenemjunts.es/?op=130&id=249,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
3,manuales,Qué ofrecemos,https://ceeielche.emprenemjunts.es/?op=130&id=250,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
4,manuales,A quién nos dirigimos,https://ceeielche.emprenemjunts.es/?op=130&id=251,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
5,manuales,Ley de Transparencia,https://ceeielche.emprenemjunts.es/?op=130&id=254,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
6,manuales,Contacta con nosotros,https://ceeielche.emprenemjunts.es/?op=130&id=253,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
"7,manuales,""Manual de Ciberseguridad para pymes Manual para pymes, autónomos y emprendedores"",https://ceeielche.emprenemjunts.es/?op=13&n=22915,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657"
"8,manuales,""Manual Diagrama integral de startups Entender y gestionar todo el ciclo de vida de una startup, desde la ideación hasta la consolidación e internacionalización."",https://ceeielche.emprenemjunts.es/?op=13&n=22691,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657"
"9,manuales,""Manual de Creación de Valor Compartido Manual Gestión Empresarial realizado por Joan Ramon Sanchis, Vanessa Campos y Ana Teresa Ejarque, del Departamento de Dirección de Empresa de UV"",https://ceeielche.emprenemjunts.es/?op=13&n=21500,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657"
"10,manuales,""Manual de Salud Mental para Personas Emprendedoras Manual Gestión Empresarial realizado por Luis Martínez, Diseño de Soluciones Innovadoras en RRHH, en Equipo Humano."",https://ceeielche.emprenemjunts.es/?op=13&n=21499,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657"
"11,manuales,""Manual de Comunicación Efectiva Manual Gestión Empresarial realizado por Luis Martínez, Diseño de Soluciones Innovadoras en RRHH, en Equipo Humano"",https://ceeielche.emprenemjunts.es/?op=13&n=21498,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657"
12,manuales,Manual Inteligencia artificial aplicada a startups Casos prácticos para usar inteligencia artificial en startups,https://ceeielche.emprenemjunts.es/?op=13&n=20566,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
13,manuales,Manual ScaleUp y softlanding ScaleUp y softlanding internacional,https://ceeielche.emprenemjunts.es/?op=13&n=20565,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
14,manuales,Manual de Inbound Marketing Manual de estrategia inbound B2B,https://ceeielche.emprenemjunts.es/?op=13&n=20564,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
15,manuales,Manual de Inversión en Startups Manual Gestión Empresarial realizado por BIGBAN Inversores Privados,https://ceeielche.emprenemjunts.es/?op=13&n=20496,https://ceeielche.emprenemjunts.es/?op=35&quebusco=20&bbtipoagru=657
