id_documento,titulo,fuente,seccion,tipo_archivo,num_caracteres,estado_extraccion,texto_caracterizacion_muestra
doc_0153,Academias,CEEI Elche,Fichas,pdf,6089,OK,"Academias CEEI Elche Fichas pdf CONTEXTO SECTORIAL Las academias desarrollan su actividad tanto en el ámbito de la formación reglada como en la no reglada, aunque predominan las academias que dedican su atención a esta última. Cada vez más tratan de introducirse en el ámbito de la formación profesional para el empleo o en las empresas, pues ambas suponen una fuente de ingresos comple- mentaria muy importante. España, en el año 2015, estaba por debajo de la media en materia de gasto público en educación en relación a su Producto Interior Bruto (PIB). La media de los veintiocho estados miembros se situaba en el 5,04% sobre el PIB frente al 4,16% que presenta nuestro país. En el año 2019 España destinó 2.524 millones de euros para la forma- ción de personas desempleadas y de trabajadoras en activo. Durante el año 2018 hubo 4.413.853 participantes en acciones formativas en empresas, siendo las familias profe- sionales que mayor número de alumnos registraron las de seguridad y la prevención"
doc_0154,Actividades Naúticas,CEEI Elche,Fichas,pdf,6260,OK,"Actividades Naúticas CEEI Elche Fichas pdf Actividades Náuticas Las actividades náuticas son todas aquéllas relacionadas con la navegación deportiva y de recreo. El sector del turis mo náutico puede incluirse principalmente dentro de varios sectores económicos: el de turismo, el de puertos deportivos y el de deportes náuticos. Desde 2008 hasta 2018 se ha observado en la Comunitat Valenciana un crecimiento medio interanual de aproxima damente el 3,01% en el número de embarcaciones matri- culadas en la lista sexta, las que tienen fines lucrativos. De las 42 instalaciones náuticas y deportivas valencianos existentes en 2015 según la Agencia Valenciana de Turis mo, el 87% de las plazas de amarres se distribuye entre las provincias de Alicante y Valencia. Fichas de Actividades Empresariales www.recursosparaemprendedores.es AMENAZAS PUNTOS FUERTES OPORTUNIDADES PUNTOS DÉBILES DAFO · Competencia desleal de empresas operadoras no registradas oficialmente. · Falta de regulación legislativa espe"
doc_0156,Agencia Inmobiliaria,CEEI Elche,Fichas,pdf,5889,OK,"Agencia Inmobiliaria CEEI Elche Fichas pdf CONTEXTO SECTORIAL El estallido de la burbuja inmobiliaria produjo una rece- sión muy importante del sector entre 2008 y 2013, no obstante a partir de este momento se denota una cierta recuperación hasta el 2019. En el 2020, con el estallido de la Covid-19 vuelve a haber otro descenso de la actividad. Entre 2010 y 2020, el descenso registrado en el número de viviendas libres terminadas se situó en el 64,5% en España, y en el 55% en la Comunitat Valenciana. Este decrecimiento no ha sido, sin embargo, acompañado de un descenso del total de actividades inmobiliarias. Entre 2010 y 2020, el número total de actividades inmobiliarias (CNAE 68) ascendió en España un 53,9%, pasando de 120.855 actividades en 2010 a 186.023 en el año 2020. Fichas de Actividades Empresariales www.recursosparaemprendedores.es AMENAZAS PUNTOS FUERTES OPORTUNIDADES PUNTOS DÉBILES DAFO · Sensibilidad al entorno económico. · Incertidumbre del sector inmobiliario. · Fuerte incr"
doc_0155,Agencia de Transporte Local,CEEI Elche,Fichas,pdf,6245,OK,"Agencia de Transporte Local CEEI Elche Fichas pdf Fichas de Actividades Empresariales www.recursosparaemprendedores.es AMENAZAS Alta competitividad Intrusismo profesional Crisis económica: menor necesidad de contratación (menos actividad económica y mayor tiempo libre) Servicio estatal de Correos Fuerte competencia de las franquicias de transporte PUNTOS FUERTES El empleo de medios de transporte respetuosos con el medio ambiente ofrece un valor añadido al cliente y genera un menor coste para la empresa en su mantenimiento Buen conocimiento del medio local debido a que se encuentran especializados en el mismo Al tratarse de pequeñas distancias, se ofrece mayor eficacia, rapidez en la entrega y tarifas más económicas OPORTUNIDADES Aparición de nuevas herramientas para mejorar el servicio: apps para dispositivos móviles Mejor servicio de atención al cliente empleando herramientas digitales como redes sociales, web, etc. Falta de tiempo por parte de las empresas o particulares para realiza"
doc_0157,Agencias de Exportación,CEEI Elche,Fichas,pdf,6933,OK,"Agencias de Exportación CEEI Elche Fichas pdf Fichas de Actividades Empresariales www.recursosparaemprendedores.es Agencias de Exportación CONTEXTO SECTORIAL Las Agencias de Exportación son empresas cuya actividad principal es la venta en los mercados internacionales de productos fabricados en España, directamente a través de una agencia de importación o mediante representantes. Las mayores tasas de crecimiento del comercio exterior español se registraron en 2015 y 2016 cuando las exportaciones llegaron a 254.530.217 mil euros en 2016 y las importaciones a los 273.284.153, con una pequeña caída registrada en relación al año anterior. La actividad exportadora de la economía valenciana durante 2016 ha crecido en un 1,63%, frente al crecimiento del 1,89% que presenta esta partida para el ámbito estatal. Por su parte, y en el caso de las importaciones, éstas han presentado un decremento del 9,28% en España y en la Comunitat Valenciana tan sólo han subido un 0,82%. Los productos que más vol"
doc_0158,Agencias de Viajes,CEEI Elche,Fichas,pdf,6060,OK,"Agencias de Viajes CEEI Elche Fichas pdf Agencia de Viajes En el conjunto de 2018 visitaron España 82,8 millones de turistas, un 1,1% más que el año anterior. En el año 2017, un 65,64% de la población española viajó por motivos personales. Esto supone más de 30 millones de personas. La Comunidad Valenciana, con un 10,57%, se sitúa en la cuarta comunidad atendiendo al número de viajes, por detrás de Madrid, Andalucía y Cataluña. Los valencianos realizaron un total de 4.709.087 viajes turísticos, cifra que supone un 27,97% sobre el total de viajes realizados. En el año 2018, el gasto total de los turistas fue de 89.856,45 millones de euros, según la Encuesta de Gasto Turísti- co (Egatur) publicada por el Instituto Nacional de Estadística (INE). Esta cifra supuso un incremento del 3,28% con respecto al año anterior. Fichas de Actividades Empresariales www.recursosparaemprendedores.es AMENAZAS PUNTOS FUERTES OPORTUNIDADES PUNTOS DÉBILES DAFO · Sensibilidad a la economía y a los factores de"
doc_0159,Agricultura Ecológica,CEEI Elche,Fichas,pdf,6181,OK,"Agricultura Ecológica CEEI Elche Fichas pdf Fichas de Actividades Empresariales www.recursosparaemprendedores.es Agricultura Ecológica CONSUMO DE PRODUCTOS ECOLÓGICOS, ESPAÑA, 2011 Y 2014 CONTEXTO SECTORIAL En el sector de la Agricultura en España durante 2003- 2013 se ha producido un descenso generalizado en el número de explotaciones agrícolas con tierra, cifrándose ese descenso en el 8,43%, lo que se traduce en la desaparición de 87.342 explotaciones. Por lo que respecta a la superficie total (Ha.), ésta se ha reducido en un 9,41% en este intervalo de tiempo (pasando de 33.162.188 a 30.042.209 Ha). En la Comunitat Valenciana, el descenso ha sido ligeramente superior tanto en el número de explotaciones (13,04%) como en el caso de la superficie de explotación (14,10%). Además, la superficie media ha descendido ligeramente tanto en la Comunitat Valenciana como en España, situándose en las 7,41 y 31,66 Ha por explotación respectivamente. En relación al resto de Comunidades Autónomas, la"
doc_0160,Ahorro y Eficiencia Energética,CEEI Elche,Fichas,pdf,5557,OK,"Ahorro y Eficiencia Energética CEEI Elche Fichas pdf Fichas de Actividades Empresariales CONTEXTO SECTORIAL España se caracteriza por tener una estructura de consumo energético dominada por productos petrolíferos importados prácticamente en su totalidad, lo que, junto a una reducida aportación de recursos autóctonos, ha contribuido a una elevada dependencia energética, próxima al 80%, superior a la media europea (54%). Este hecho es consecuencia de la dependencia de fuentes energéticas fósiles a lo largo de las décadas anteriores, pero hoy en día se va estableciendo un nuevo modelo energético que reduce el consumo mediante tecnologías más eficientes e inversiones que cuentan con el apoyo de las administraciones y el propio sector privado. www.recursosparaemprendedores.es AMENAZAS Uso de aparatos poco eficientes Escaso mantenimiento en los equipos Pérdidas de calor o de frío por un aislamiento deficiente Hábitos inadecuados de consumo OPORTUNIDADES Uso de equipos eléctricos y de autoges"
doc_0161,Arreglo de ropa y composturas,CEEI Elche,Fichas,pdf,4843,OK,"Arreglo de ropa y composturas CEEI Elche Fichas pdf Fichas de Actividades Empresariales www.recursosparaempredendores.es EVOLUCIÓN DEL NÚMERO DE EMPRESAS QUE OFRECEN SERVICIOS DE ARREGLO DE ROPA SEGÚN CÓDIGO CNAE, ESPAÑA (2014-2017) Arreglo y Compostura de Ropa 2014 3.8003.361 2015 7.912 20.563 2016 7.864 21.290 2017 8.098 21.229 CNAE 952 CNAE 141 DAFO AMENAZAS Actividad con gran dependencia de la coyuntura económica El bajo precio de la ropa Tendencia usar-tirar en el consumo de las prendas de vestir PUNTOS FUERTES No requiere gran inversión inicial Barreras de salida escasas (fácil posibilidad de traspaso y posibilidad de venta de la maquinaria en el mercado de segunda mano) Buena relación calidad-precio y plazos de entrega Capacidad de adaptación a las nuevas tendencias Disminución de mujeres con capacidad de hacer los arreglos en casa OPORTUNIDADES Tendencia a conservar la ropa durante más tiempo tras la crisis Ventajas en costes de materias prima Emplear el mundo digital para lleg"
doc_0162,Atención Educativa al Niño,CEEI Elche,Fichas,pdf,6208,OK,"Atención Educativa al Niño CEEI Elche Fichas pdf Atención educativa al niño CONTEXTO SECTORIAL El aumento de la sensibilización de madres y padres respecto a los problemas derivados de la atención educativa a niños y niñas junto con la detección temprana de los equipos psicopedagógicos de los centros docentes, hace prever un desarrollo favorable de la actividad en los próximos años. La Comunitat Valenciana registra el 10,6% del total de alumnado de España, casi 864.000. En el curso 2016-2017, se matricularon en España 181.530 personas con necesidades educativas especiales, de las cuales el 29,1% padecía necesidades educativas de tipo intelectual y el 39,7% padecía algún tipo de trastorno. En la categoría de alumnado con necesidades de apoyo educativo se inscribieron durante este curso 306.763 alum- nos, de los cuales el 43,9% padecían trastornos del aprendizaje, el 22,4% trastornos del desarrollo del lenguaje y la comunicación y el 21,6% se correspondía con alumnado en situación de des"
